* Data was revised on 10/4/23 to reflect the removal of 40 students with erroneous enrollments.,,,,,,,,,,,,,,,,,,,,,,,,
 School Information ,,,,,,,White,,Black/African American,,Asian/ Pacific Islander (Retired),,"Native American/
 Alaskan",,Latinx,,Multiracial,,Asian,,"Hawaiian/
 Pacific Islander",,"Not 
 Available",
609950, ORTIZ DE DOMINGUEZ , Network 7 , District , Traditional , SOUTH LAWNDALE , 399 , - ,0.0%, 2 ,0.5%, - ,0.0%, - ,0.0%, 396 ,99.2%, - ,0.0%, 1 ,0.3%, - ,0.0%, - ,0.0%
610107, OTIS , Network 6 , District , Traditional , WEST TOWN , 347 , 14 ,4.0%, 101 ,29.1%, - ,0.0%, 1 ,0.3%, 217 ,62.5%, 4 ,1.2%, 10 ,2.9%, - ,0.0%, - ,0.0%
610108, OTOOLE , Network 11 , District , Traditional , WEST ENGLEWOOD , 274 , 7 ,2.6%, 192 ,70.1%, - ,0.0%, - ,0.0%, 71 ,25.9%, 4 ,1.5%, - ,0.0%, - ,0.0%, - ,0.0%
610109, OWEN , Network 10 , District , Traditional , ASHBURN , 276 , - ,0.0%, 263 ,95.3%, - ,0.0%, - ,0.0%, 11 ,4.0%, 2 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
609943, OWENS , Network 13 , District , Traditional , WEST PULLMAN , 332 , 4 ,1.2%, 304 ,91.6%, - ,0.0%, - ,0.0%, 15 ,4.5%, 1 ,0.3%, - ,0.0%, - ,0.0%, 8 ,2.4%
610111, PALMER , ISP , District , Traditional , ALBANY PARK , 757 , 266 ,35.1%, 14 ,1.8%, - ,0.0%, - ,0.0%, 326 ,43.1%, 25 ,3.3%, 123 ,16.2%, 3 ,0.4%, - ,0.0%
610115, PARK MANOR , Network 12 , District , Traditional , GREATER GRAND CROSSING , 252 , 1 ,0.4%, 245 ,97.2%, - ,0.0%, - ,0.0%, 5 ,2.0%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610112, PARKER , Network 11 , District , Traditional , ENGLEWOOD , 355 , 1 ,0.3%, 340 ,95.8%, - ,0.0%, - ,0.0%, 13 ,3.7%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610116, PARKSIDE , Network 12 , District , Traditional , SOUTH SHORE , 245 , - ,0.0%, 236 ,96.3%, - ,0.0%, - ,0.0%, 7 ,2.9%, 2 ,0.8%, - ,0.0%, - ,0.0%, - ,0.0%
610117, PASTEUR , Network 8 , District , Traditional , WEST ELSDON , 625 , 9 ,1.4%, 15 ,2.4%, - ,0.0%, 2 ,0.3%, 594 ,95.0%, 4 ,0.6%, 1 ,0.2%, - ,0.0%, - ,0.0%
610557, PATHWAYS - ASHBURN HS , Options , ALOP , Options , ASHBURN , 265 , 11 ,4.2%, 88 ,33.2%, - ,0.0%, - ,0.0%, 165 ,62.3%, 1 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
610568, PATHWAYS - AVONDALE HS , Options , ALOP , Options , AVONDALE , 302 , 21 ,7.0%, 35 ,11.6%, - ,0.0%, 1 ,0.3%, 239 ,79.1%, 2 ,0.7%, 3 ,1.0%, - ,0.0%, 1 ,0.3%
400173, PATHWAYS - BRIGHTON PARK HS , Options , ALOP , Options , BRIGHTON PARK , 427 , 13 ,3.0%, 25 ,5.9%, - ,0.0%, 2 ,0.5%, 384 ,89.9%, 1 ,0.2%, 2 ,0.5%, - ,0.0%, - ,0.0%
610594, PATHWAYS - HUMBOLDT PARK HS , Options , ALOP , Options , WEST TOWN , 162 , 5 ,3.1%, 49 ,30.2%, - ,0.0%, 1 ,0.6%, 105 ,64.8%, 1 ,0.6%, 1 ,0.6%, - ,0.0%, - ,0.0%
609680, PAYTON HS , Network 15 , District , Traditional , NEAR NORTH SIDE ," 1,260 ", 440 ,34.9%, 111 ,8.8%, - ,0.0%, 4 ,0.3%, 322 ,25.6%, 53 ,4.2%, 328 ,26.0%, 2 ,0.2%, - ,0.0%
610386, PEACE AND EDUCATION HS , Options , District , Options , NEW CITY , 146 , 1 ,0.7%, 37 ,25.3%, - ,0.0%, - ,0.0%, 105 ,71.9%, 1 ,0.7%, - ,0.0%, - ,0.0%, 2 ,1.4%
610120, PECK , ISP , District , Traditional , WEST ELSDON , 754 , 11 ,1.5%, 9 ,1.2%, - ,0.0%, - ,0.0%, 733 ,97.2%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,0.1%
610122, PEIRCE , ISP , District , Traditional , EDGEWATER ," 1,101 ", 503 ,45.7%, 79 ,7.2%, - ,0.0%, 6 ,0.5%, 351 ,31.9%, 99 ,9.0%, 62 ,5.6%, 1 ,0.1%, - ,0.0%
610123, PENN , Network 7 , District , Traditional , NORTH LAWNDALE , 216 , - ,0.0%, 202 ,93.5%, - ,0.0%, 1 ,0.5%, 13 ,6.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609872, PEREZ , Network 7 , District , Traditional , LOWER WEST SIDE , 302 , 5 ,1.7%, 21 ,7.0%, - ,0.0%, - ,0.0%, 269 ,89.1%, 1 ,0.3%, 6 ,2.0%, - ,0.0%, - ,0.0%
610126, PERSHING , Network 9 , District , Traditional , DOUGLAS , 396 , 4 ,1.0%, 375 ,94.7%, - ,0.0%, - ,0.0%, 10 ,2.5%, 3 ,0.8%, 4 ,1.0%, - ,0.0%, - ,0.0%
400064, PERSPECTIVES - JOSLIN HS , Charter , Charter , Traditional , NEAR SOUTH SIDE , 330 , 2 ,0.6%, 314 ,95.2%, - ,0.0%, 1 ,0.3%, 8 ,2.4%, 2 ,0.6%, 3 ,0.9%, - ,0.0%, - ,0.0%
400061, PERSPECTIVES - LEADERSHIP HS , Charter , Charter , Traditional , CHATHAM , 847 , 2 ,0.2%, 830 ,98.0%, - ,0.0%, 1 ,0.1%, 11 ,1.3%, 3 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
400066, PERSPECTIVES - MATH & SCI HS , Charter , Charter , Traditional , DOUGLAS , 399 , 3 ,0.8%, 387 ,97.0%, - ,0.0%, 1 ,0.3%, 6 ,1.5%, - ,0.0%, - ,0.0%, - ,0.0%, 2 ,0.5%
400062, PERSPECTIVES - TECH HS , Charter , Charter , Traditional , CHATHAM , 427 , - ,0.0%, 415 ,97.2%, - ,0.0%, - ,0.0%, 9 ,2.1%, 1 ,0.2%, 1 ,0.2%, - ,0.0%, 1 ,0.2%
610127, PETERSON , Network 1 , District , Traditional , NORTH PARK , 893 , 247 ,27.7%, 62 ,6.9%, - ,0.0%, 6 ,0.7%, 332 ,37.2%, 36 ,4.0%, 207 ,23.2%, - ,0.0%, 3 ,0.3%
609727, PHILLIPS HS , Network 17 , District , Traditional , DOUGLAS , 385 , - ,0.0%, 368 ,95.6%, - ,0.0%, - ,0.0%, 11 ,2.9%, 1 ,0.3%, 1 ,0.3%, 1 ,0.3%, 3 ,0.8%
610304, PHOENIX MILITARY HS , ISP , District , Traditional , NEAR WEST SIDE , 401 , 14 ,3.5%, 51 ,12.7%, - ,0.0%, - ,0.0%, 330 ,82.3%, 1 ,0.2%, 3 ,0.7%, 2 ,0.5%, - ,0.0%
610106, PICCOLO , Network 5 , District , Traditional , HUMBOLDT PARK , 640 , 2 ,0.3%, 203 ,31.7%, - ,0.0%, - ,0.0%, 431 ,67.3%, 2 ,0.3%, - ,0.0%, 2 ,0.3%, - ,0.0%
610129, PICKARD , Network 7 , District , Traditional , LOWER WEST SIDE , 293 , 7 ,2.4%, 12 ,4.1%, - ,0.0%, - ,0.0%, 274 ,93.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610013, PILSEN , Network 7 , District , Traditional , LOWER WEST SIDE , 223 , 2 ,0.9%, 20 ,9.0%, - ,0.0%, 1 ,0.4%, 200 ,89.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610130, PIRIE , Network 12 , District , Traditional , CHATHAM , 182 , - ,0.0%, 175 ,96.2%, - ,0.0%, 1 ,0.5%, 4 ,2.2%, 2 ,1.1%, - ,0.0%, - ,0.0%, - ,0.0%
610131, PLAMONDON , ISP , District , Traditional , NORTH LAWNDALE , 84 , 4 ,4.8%, 17 ,20.2%, - ,0.0%, 1 ,1.2%, 62 ,73.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
400068, PLATO , Contract , Contract , Traditional , AUSTIN , 182 , - ,0.0%, 177 ,97.3%, - ,0.0%, - ,0.0%, 5 ,2.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610132, POE , Network 13 , District , Traditional , PULLMAN , 229 , 7 ,3.1%, 194 ,84.7%, - ,0.0%, - ,0.0%, 20 ,8.7%, 8 ,3.5%, - ,0.0%, - ,0.0%, - ,0.0%
400069, POLARIS , Charter , Charter , Traditional , HUMBOLDT PARK , 356 , 2 ,0.6%, 315 ,88.5%, - ,0.0%, - ,0.0%, 38 ,10.7%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610135, PORTAGE PARK , Network 1 , District , Traditional , PORTAGE PARK , 889 , 247 ,27.8%, 34 ,3.8%, - ,0.0%, 8 ,0.9%, 544 ,61.2%, 31 ,3.5%, 22 ,2.5%, 3 ,0.3%, - ,0.0%
610281, POWELL , Network 12 , District , Traditional , SOUTH SHORE , 548 , - ,0.0%, 522 ,95.3%, - ,0.0%, - ,0.0%, 20 ,3.6%, 5 ,0.9%, - ,0.0%, - ,0.0%, 1 ,0.2%
610136, PRESCOTT , Network 4 , District , Traditional , LINCOLN PARK , 415 , 163 ,39.3%, 55 ,13.3%, - ,0.0%, 2 ,0.5%, 123 ,29.6%, 24 ,5.8%, 48 ,11.6%, - ,0.0%, - ,0.0%
610533, PRIETO , Network 3 , District , Traditional , BELMONT CRAGIN , 751 , 3 ,0.4%, 27 ,3.6%, - ,0.0%, 1 ,0.1%, 718 ,95.6%, - ,0.0%, 2 ,0.3%, - ,0.0%, - ,0.0%
610229, PRITZKER , Network 6 , District , Traditional , WEST TOWN , 653 , 250 ,38.3%, 128 ,19.6%, - ,0.0%, 3 ,0.5%, 157 ,24.0%, 67 ,10.3%, 47 ,7.2%, 1 ,0.2%, - ,0.0%
609679, PROSSER HS , Network 15 , District , Traditional , BELMONT CRAGIN ," 1,170 ", 19 ,1.6%, 254 ,21.7%, - ,0.0%, 3 ,0.3%, 887 ,75.8%, 3 ,0.3%, 2 ,0.2%, 1 ,0.1%, 1 ,0.1%
400071, PROVIDENCE ENGLEWOOD , Charter , Charter , Traditional , WEST ENGLEWOOD , 446 , 1 ,0.2%, 422 ,94.6%, - ,0.0%, - ,0.0%, 18 ,4.0%, - ,0.0%, - ,0.0%, 1 ,0.2%, 4 ,0.9%
610137, PRUSSING , Network 1 , District , Traditional , PORTAGE PARK , 661 , 261 ,39.5%, 17 ,2.6%, - ,0.0%, 3 ,0.5%, 323 ,48.9%, 15 ,2.3%, 38 ,5.7%, 1 ,0.2%, 3 ,0.5%
610138, PULASKI , Network 6 , District , Traditional , LOGAN SQUARE , 840 , 303 ,36.1%, 13 ,1.5%, - ,0.0%, 4 ,0.5%, 427 ,50.8%, 59 ,7.0%, 34 ,4.0%, - ,0.0%, - ,0.0%
610139, PULLMAN , Network 13 , District , Traditional , PULLMAN , 314 , 2 ,0.6%, 250 ,79.6%, - ,0.0%, - ,0.0%, 60 ,19.1%, 2 ,0.6%, - ,0.0%, - ,0.0%, - ,0.0%
610334, RABY HS , Network 15 , District , Traditional , EAST GARFIELD PARK , 149 , 2 ,1.3%, 130 ,87.2%, - ,0.0%, 1 ,0.7%, 16 ,10.7%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609941, RANDOLPH , Network 11 , District , Traditional , WEST ENGLEWOOD , 294 , 1 ,0.3%, 242 ,82.3%, - ,0.0%, - ,0.0%, 49 ,16.7%, 2 ,0.7%, - ,0.0%, - ,0.0%, - ,0.0%
610141, RAVENSWOOD , Network 2 , District , Traditional , LAKE VIEW , 505 , 242 ,47.9%, 42 ,8.3%, - ,0.0%, - ,0.0%, 143 ,28.3%, 53 ,10.5%, 24 ,4.8%, 1 ,0.2%, - ,0.0%
610142, RAY , Network 9 , District , Traditional , HYDE PARK , 612 , 71 ,11.6%, 363 ,59.3%, - ,0.0%, 3 ,0.5%, 111 ,18.1%, 21 ,3.4%, 31 ,5.1%, 2 ,0.3%, 10 ,1.6%
610143, REAVIS , Network 9 , District , Traditional , KENWOOD , 272 , - ,0.0%, 269 ,98.9%, - ,0.0%, - ,0.0%, 1 ,0.4%, 1 ,0.4%, - ,0.0%, - ,0.0%, 1 ,0.4%
610144, REILLY , Network 4 , District , Traditional , AVONDALE , 527 , 12 ,2.3%, 12 ,2.3%, - ,0.0%, - ,0.0%, 490 ,93.0%, 3 ,0.6%, 10 ,1.9%, - ,0.0%, - ,0.0%
610145, REINBERG , Network 1 , District , Traditional , PORTAGE PARK , 776 , 114 ,14.7%, 33 ,4.3%, - ,0.0%, 6 ,0.8%, 587 ,75.6%, 8 ,1.0%, 24 ,3.1%, 1 ,0.1%, 3 ,0.4%
610146, REVERE , Network 12 , District , Traditional , GREATER GRAND CROSSING , 194 , - ,0.0%, 191 ,98.5%, - ,0.0%, - ,0.0%, 3 ,1.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
609682, RICHARDS HS , Network 16 , District , Traditional , NEW CITY , 278 , 1 ,0.4%, 93 ,33.5%, - ,0.0%, 2 ,0.7%, 167 ,60.1%, - ,0.0%, - ,0.0%, - ,0.0%, 15 ,5.4%
610588, RICHARDSON , Network 10 , District , Traditional , WEST LAWN , 841 , 5 ,0.6%, 11 ,1.3%, - ,0.0%, - ,0.0%, 823 ,97.9%, 1 ,0.1%, 1 ,0.1%, - ,0.0%, - ,0.0%
610390, RICKOVER MILITARY HS , ISP , District , Traditional , PORTAGE PARK , 506 , 69 ,13.6%, 15 ,3.0%, - ,0.0%, - ,0.0%, 403 ,79.6%, 8 ,1.6%, 10 ,2.0%, 1 ,0.2%, - ,0.0%
610256, ROBINSON , Network 9 , District , Traditional , OAKLAND , 113 , 1 ,0.9%, 105 ,92.9%, - ,0.0%, - ,0.0%, 4 ,3.5%, 1 ,0.9%, - ,0.0%, - ,0.0%, 2 ,1.8%
610147, ROGERS , ISP , District , Traditional , WEST RIDGE , 721 , 136 ,18.9%, 135 ,18.7%, - ,0.0%, 2 ,0.3%, 254 ,35.2%, 35 ,4.9%, 158 ,21.9%, 1 ,0.1%, - ,0.0%
609728, ROOSEVELT HS , Network 14 , District , Traditional , ALBANY PARK ," 1,084 ", 51 ,4.7%, 75 ,6.9%, - ,0.0%, 3 ,0.3%, 845 ,78.0%, 8 ,0.7%, 89 ,8.2%, 1 ,0.1%, 12 ,1.1%
400096, ROWE , Charter , Charter , Traditional , WEST TOWN , 703 , 12 ,1.7%, 172 ,24.5%, - ,0.0%, 1 ,0.1%, 473 ,67.3%, 1 ,0.1%, - ,0.0%, 1 ,0.1%, 43 ,6.1%
610308, RUDOLPH , Network 6 , District , Specialty , NEAR WEST SIDE , 99 , 5 ,5.1%, 42 ,42.4%, - ,0.0%, - ,0.0%, 47 ,47.5%, 2 ,2.0%, 3 ,3.0%, - ,0.0%, - ,0.0%
610152, RUGGLES , Network 12 , District , Traditional , GREATER GRAND CROSSING , 319 , 1 ,0.3%, 308 ,96.6%, - ,0.0%, - ,0.0%, 8 ,2.5%, - ,0.0%, 2 ,0.6%, - ,0.0%, - ,0.0%
610125, RUIZ , Network 7 , District , Traditional , LOWER WEST SIDE , 441 , 8 ,1.8%, 9 ,2.0%, - ,0.0%, - ,0.0%, 417 ,94.6%, - ,0.0%, 2 ,0.5%, 2 ,0.5%, 3 ,0.7%
610153, RYDER , Network 11 , District , Traditional , AUBURN GRESHAM , 359 , 2 ,0.6%, 341 ,95.0%, - ,0.0%, 1 ,0.3%, 12 ,3.3%, - ,0.0%, - ,0.0%, - ,0.0%, 3 ,0.8%
610342, SABIN , Network 6 , District , Traditional , WEST TOWN , 351 , 10 ,2.8%, 73 ,20.8%, - ,0.0%, 1 ,0.3%, 264 ,75.2%, 3 ,0.9%, - ,0.0%, - ,0.0%, - ,0.0%
610586, SADLOWSKI , Network 13 , District , Traditional , EAST SIDE , 660 , 18 ,2.7%, 35 ,5.3%, - ,0.0%, - ,0.0%, 603 ,91.4%, 2 ,0.3%, 2 ,0.3%, - ,0.0%, - ,0.0%
610572, SAFE ACHIEVE ES , Options , Safe , Options , SOUTH SHORE , 2 , - ,0.0%, 1 ,50.0%, - ,0.0%, - ,0.0%, 1 ,50.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610573, SAFE ACHIEVE HS , Options , Safe , Options , SOUTH SHORE , 27 , 1 ,3.7%, 18 ,66.7%, - ,0.0%, - ,0.0%, 7 ,25.9%, 1 ,3.7%, - ,0.0%, - ,0.0%, - ,0.0%
610250, SALAZAR , ISP , District , Traditional , NEAR NORTH SIDE , 370 , 2 ,0.5%, 58 ,15.7%, - ,0.0%, 4 ,1.1%, 299 ,80.8%, 2 ,0.5%, 5 ,1.4%, - ,0.0%, - ,0.0%
610226, SANDOVAL , ISP , District , Traditional , GAGE PARK , 723 , 10 ,1.4%, 12 ,1.7%, - ,0.0%, 7 ,1.0%, 694 ,96.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610017, SAUCEDO , Network 7 , District , Traditional , SOUTH LAWNDALE , 852 , 2 ,0.2%, 46 ,5.4%, - ,0.0%, 1 ,0.1%, 803 ,94.2%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610155, SAUGANASH , Network 1 , District , Traditional , FOREST GLEN , 663 , 326 ,49.2%, 10 ,1.5%, - ,0.0%, 1 ,0.2%, 141 ,21.3%, 44 ,6.6%, 139 ,21.0%, 1 ,0.2%, 1 ,0.2%
610157, SAWYER , Network 8 , District , Traditional , GAGE PARK , 924 , 14 ,1.5%, 2 ,0.2%, - ,0.0%, 6 ,0.6%, 896 ,97.0%, 4 ,0.4%, 2 ,0.2%, - ,0.0%, - ,0.0%
610158, SAYRE , Network 3 , District , Traditional , AUSTIN , 400 , 35 ,8.8%, 150 ,37.5%, - ,0.0%, 1 ,0.3%, 200 ,50.0%, 12 ,3.0%, 1 ,0.3%, 1 ,0.3%, - ,0.0%
610159, SCAMMON , Network 1 , District , Traditional , IRVING PARK , 627 , 43 ,6.9%, 24 ,3.8%, - ,0.0%, - ,0.0%, 547 ,87.2%, 4 ,0.6%, 9 ,1.4%, - ,0.0%, - ,0.0%
610178, SCHMID , Network 12 , District , Traditional , PULLMAN , 178 , 1 ,0.6%, 169 ,94.9%, - ,0.0%, - ,0.0%, 8 ,4.5%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610165, SCHUBERT , Network 3 , District , Traditional , BELMONT CRAGIN , 555 , 10 ,1.8%, 9 ,1.6%, - ,0.0%, 2 ,0.4%, 532 ,95.9%, 2 ,0.4%, - ,0.0%, - ,0.0%, - ,0.0%
609729, SCHURZ HS , Network 14 , District , Traditional , IRVING PARK ," 1,217 ", 55 ,4.5%, 102 ,8.4%, - ,0.0%, 12 ,1.0%," 1,014 ",83.3%, 11 ,0.9%, 21 ,1.7%, 1 ,0.1%, 1 ,0.1%
609730, SENN HS , Network 14 , District , Traditional , EDGEWATER ," 1,453 ", 270 ,18.6%, 371 ,25.5%, - ,0.0%, 10 ,0.7%, 585 ,40.3%, 34 ,2.3%, 180 ,12.4%, 2 ,0.1%, 1 ,0.1%
610167, SEWARD , Network 8 , District , Traditional , NEW CITY , 413 , 6 ,1.5%, 8 ,1.9%, - ,0.0%, 3 ,0.7%, 395 ,95.6%, 1 ,0.2%, - ,0.0%, - ,0.0%, - ,0.0%
610081, SHERIDAN , ISP , District , Traditional , BRIDGEPORT , 532 , 46 ,8.6%, 66 ,12.4%, - ,0.0%, - ,0.0%, 111 ,20.9%, 16 ,3.0%, 293 ,55.1%, - ,0.0%, - ,0.0%
610172, SHERMAN , Network 8 , District , Traditional , NEW CITY , 207 , - ,0.0%, 168 ,81.2%, - ,0.0%, - ,0.0%, 38 ,18.4%, 1 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610173, SHERWOOD , ISP , District , Traditional , ENGLEWOOD , 211 , - ,0.0%, 194 ,91.9%, - ,0.0%, - ,0.0%, 14 ,6.6%, 3 ,1.4%, - ,0.0%, - ,0.0%, - ,0.0%
610174, SHIELDS , Network 8 , District , Traditional , BRIGHTON PARK , 483 , 8 ,1.7%, 7 ,1.4%, - ,0.0%, 1 ,0.2%, 464 ,96.1%, 1 ,0.2%, 2 ,0.4%, - ,0.0%, - ,0.0%
610559, SHIELDS MIDDLE , ISP , District , Traditional , BRIGHTON PARK , 373 , 2 ,0.5%, 10 ,2.7%, - ,0.0%, - ,0.0%, 359 ,96.2%, 2 ,0.5%, - ,0.0%, - ,0.0%, - ,0.0%
610175, SHOESMITH , Network 9 , District , Traditional , KENWOOD , 327 , 14 ,4.3%, 248 ,75.8%, - ,0.0%, - ,0.0%, 45 ,13.8%, 14 ,4.3%, 5 ,1.5%, - ,0.0%, 1 ,0.3%
610176, SHOOP , Network 13 , District , Traditional , MORGAN PARK , 416 , 2 ,0.5%, 400 ,96.2%, - ,0.0%, 1 ,0.2%, 8 ,1.9%, 5 ,1.2%, - ,0.0%, - ,0.0%, - ,0.0%
609692, SIMEON HS , Network 17 , District , Traditional , CHATHAM ," 1,077 ", 1 ,0.1%," 1,056 ",98.1%, - ,0.0%, 2 ,0.2%, 11 ,1.0%, 5 ,0.5%, - ,0.0%, - ,0.0%, 2 ,0.2%
609750, SIMPSON HS , Options , District , Options , NEAR WEST SIDE , 22 , - ,0.0%, 15 ,68.2%, - ,0.0%, - ,0.0%, 7 ,31.8%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610177, SKINNER , Network 6 , District , Traditional , NEAR WEST SIDE ," 1,049 ", 265 ,25.3%, 257 ,24.5%, - ,0.0%, 10 ,1.0%, 126 ,12.0%, 65 ,6.2%, 314 ,29.9%, 3 ,0.3%, 9 ,0.9%
610534, SKINNER NORTH , Network 4 , District , Traditional , NEAR NORTH SIDE , 512 , 137 ,26.8%, 26 ,5.1%, - ,0.0%, 4 ,0.8%, 37 ,7.2%, 57 ,11.1%, 250 ,48.8%, 1 ,0.2%, - ,0.0%
609978, SMITH , Network 13 , District , Traditional , PULLMAN , 363 , - ,0.0%, 348 ,95.9%, - ,0.0%, 1 ,0.3%, 13 ,3.6%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610179, SMYSER , Network 1 , District , Traditional , PORTAGE PARK , 753 , 189 ,25.1%, 26 ,3.5%, - ,0.0%, 4 ,0.5%, 476 ,63.2%, 6 ,0.8%, 43 ,5.7%, - ,0.0%, 9 ,1.2%
610180, SMYTH , Network 6 , District , Traditional , NEAR WEST SIDE , 370 , 3 ,0.8%, 351 ,94.9%, - ,0.0%, - ,0.0%, 13 ,3.5%, 3 ,0.8%, - ,0.0%, - ,0.0%, - ,0.0%
610383, SOCIAL JUSTICE HS , Network 15 , District , Traditional , SOUTH LAWNDALE , 302 , 2 ,0.7%, 57 ,18.9%, - ,0.0%, - ,0.0%, 242 ,80.1%, - ,0.0%, 1 ,0.3%, - ,0.0%, - ,0.0%
610182, SOLOMON , Network 1 , District , Traditional , NORTH PARK , 340 , 150 ,44.1%, 23 ,6.8%, - ,0.0%, 1 ,0.3%, 51 ,15.0%, 10 ,2.9%, 105 ,30.9%, - ,0.0%, - ,0.0%
610543, SOLORIO HS , Network 15 , District , Traditional , GAGE PARK ," 1,230 ", 12 ,1.0%, 14 ,1.1%, - ,0.0%, 5 ,0.4%," 1,191 ",96.8%, 2 ,0.2%, 6 ,0.5%, - ,0.0%, - ,0.0%
610589, SOR JUANA , Network 8 , District , Traditional , WEST ELSDON , 489 , 29 ,5.9%, 15 ,3.1%, - ,0.0%, 1 ,0.2%, 441 ,90.2%, 2 ,0.4%, 1 ,0.2%, - ,0.0%, - ,0.0%
609990, SOUTH LOOP , ISP , District , Traditional , NEAR SOUTH SIDE , 839 , 248 ,29.6%, 286 ,34.1%, - ,0.0%, 3 ,0.4%, 129 ,15.4%, 70 ,8.3%, 102 ,12.2%, 1 ,0.1%, - ,0.0%
610530, SOUTH SHORE ES , Network 12 , District , Traditional , SOUTH SHORE , 241 , - ,0.0%, 227 ,94.2%, - ,0.0%, - ,0.0%, 12 ,5.0%, 1 ,0.4%, - ,0.0%, - ,0.0%, 1 ,0.4%
610547, SOUTH SHORE INTL HS , Network 17 , District , Traditional , SOUTH SHORE , 565 , 1 ,0.2%, 542 ,95.9%, - ,0.0%, 1 ,0.2%, 19 ,3.4%, - ,0.0%, - ,0.0%, - ,0.0%, 2 ,0.4%
609745, SOUTHSIDE HS , ISP , District , Specialty , WEST ENGLEWOOD , 370 , 12 ,3.2%, 221 ,59.7%, - ,0.0%, - ,0.0%, 136 ,36.8%, 1 ,0.3%, - ,0.0%, - ,0.0%, - ,0.0%
610183, SPENCER , Network 3 , District , Traditional , AUSTIN , 387 , 3 ,0.8%, 323 ,83.5%, - ,0.0%, 3 ,0.8%, 48 ,12.4%, - ,0.0%, - ,0.0%, 3 ,0.8%, 7 ,1.8%
610184, SPRY ES , Network 7 , District , Traditional , SOUTH LAWNDALE , 303 , 3 ,1.0%, 9 ,3.0%, - ,0.0%, - ,0.0%, 291 ,96.0%, - ,0.0%, - ,0.0%, - ,0.0%, - ,0.0%
610357, SPRY HS , Network 16 , District , Traditional , SOUTH LAWNDALE , 62 , - ,0.0%, - ,0.0%, - ,0.0%, 1 ,1.6%, 60 ,96.8%, - ,0.0%, - ,0.0%, - ,0.0%, 1 ,1.6%
610339, STAGG , Network 11 , District , Traditional , ENGLEWOOD , 389 , - ,0.0%, 351 ,90.2%, - ,0.0%, 1 ,0.3%, 32 ,8.2%, 2 ,0.5%, 3 ,0.8%, - ,0.0%, - ,0.0%
609732, STEINMETZ HS , Network 14 , District , Traditional , BELMONT CRAGIN ," 1,158 ", 83 ,7.2%, 182 ,15.7%, - ,0.0%, 5 ,0.4%, 877 ,75.7%, 2 ,0.2%, 6 ,0.5%, 3 ,0.3%, - ,0.0%
610548, STEM , ISP , District , Traditional , NEAR WEST SIDE , 403 , 24 ,6.0%, 154 ,38.2%, - ,0.0%, 2 ,0.5%, 74 ,18.4%, 11 ,2.7%, 138 ,34.2%, - ,0.0%, - ,0.0%
610185, STEVENSON , Network 10 , District , Traditional , ASHBURN ," 1,161 ", 34 ,2.9%, 63 ,5.4%, - ,0.0%, 1 ,0.1%," 1,043 ",89.8%, 10 ,0.9%, 10 ,0.9%, - ,0.0%, - ,0.0%
610163, STOCK , Network 1 , District , Early Childhood , EDISON PARK , 212 , 128 ,60.4%, 3 ,1.4%, - ,0.0%, - ,0.0%, 58 ,27.4%, 7 ,3.3%, 14 ,6.6%, - ,0.0%, 2 ,0.9%
610191, STONE , Network 2 , District , Traditional , WEST RIDGE , 554 , 131 ,23.6%, 128 ,23.1%, - ,0.0%, 3 ,0.5%, 66 ,11.9%, 25 ,4.5%, 200 ,36.1%, 1 ,0.2%, - ,0.0%
610192, STOWE , Network 5 , District , Traditional , HUMBOLDT PARK , 511 , 9 ,1.8%, 47 ,9.2%, - ,0.0%, 2 ,0.4%, 446 ,87.3%, 2 ,0.4%, 5 ,1.0%, - ,0.0%, - ,0.0%
610405, SUDER , Network 6 , District , Traditional , NEAR WEST SIDE , 463 , 92 ,19.9%, 245 ,52.9%, - ,0.0%, 1 ,0.2%, 75 ,16.2%, 30 ,6.5%, 16 ,3.5%, 4 ,0.9%, - ,0.0%
